ROW_NUM,DEC_LAT,DEC_LONG,SPECIES,YEAR_COLLECTED,MONTH_COLLECTED,DAY_COLLECTED,EAR_LENGTH_MM,HIND_FOOT_W_CLAW_MM,TAIL_LENGTH_MM,TOTAL_LENGTH_MM,MASS_G
991,43.2467,-118.5767,Erethizon dorsatum,1987,4,15,25,11,215,750,15910
756,35.14499,-106.66577,Erethizon dorsatum,2024,5,25,23,74,224,802,8800
590,46.956,-120.508,Erethizon dorsatum,2008,10,26,28,92,204,834,8125
886,31.40586,-100.571258,Erethizon dorsatum,2010,3,26,33,70,155,765,7600
447,33.642279,-108.470337,Erethizon dorsatum,1995,7,14,36,10,210,580,5850
1190,36.00448,-106.07541,Erethizon dorsatum,2007,10,14,32,93,181,640,545
343,35.14421667,-106.6720667,Erethizon dorsatum,2013,1,8,25,55,75,310,530
182,31.14455,-100.5133,Erethizon dorsatum,2009,3,8,23,76,165,693,5100
1075,65.35073333,-143.1225167,Erethizon dorsatum,2001,8,6,23,90,156,644,5100
885,31.40586,-100.571258,Erethizon dorsatum,2010,3,18,23,70,160,720,5000
344,35.14421667,-106.6720667,Erethizon dorsatum,2011,6,1,35,98,120,580,5.5
36,47.139745,-122.463359,Erethizon dorsatum,2016,9,2,35,11,270,880,4306
296,35.07577778,-106.6708611,Erethizon dorsatum,2010,4,12,21,41,82,300,420
1192,47.13731915,-122.502843,Erethizon dorsatum,2016,9,11,30,78,212,662,4000
96,31.172498,-100.511321,Erethizon dorsatum,2017,9,20,18,80,150,610,3500
884,31.40586,-100.571258,Erethizon dorsatum,2007,4,9,32,65,135,591,3.1
5,69.30473,-145.01422,Erethizon dorsatum,2006,7,22,15,75,98,464,2454
318,39.5805306,-104.6797168,Erethizon dorsatum,2023,3,23,6,29,53,185,189.9
663,64.90678333,-147.4367333,Erethizon dorsatum,2004,6,7,15,50,70,400,147.6
